evidence_id,batch_id,input_symbol,input_company_name,claim_type,claim_summary,source_title,source_type,source_date,source_url_or_reference,page_or_section,verbatim_excerpt_short,confidence
NAVA-CURATED-BUSINESS,nifty_500_shariah,NAVA,NAVA Ltd.,business_model,"NAVA LIMITED is an NSE-listed company classified by NSE as Utilities / Power / Power / Power Generation. The profile maps the company into a regulated_energy_or_utility_provider value-chain role using official NSE quote, financial-result and annual-report records; segment economics are left null where they were not cleanly available from the extracted source data.","NAVA annual report, NSE quote classification and v2 curation",annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_27051_NAVA_2024_2025_A_21072025183646.pdf,business review / management discussion / NSE secInfo,,0.68
NAVA-CURATED-DEPENDENCIES,nifty_500_shariah,NAVA,NAVA Ltd.,dependency_mapping,"Upstream, downstream, cost-driver and peer mappings are hypotheses curated from NSE classification, annual-report source inventory and sector value-chain logic.",NAVA official NSE filings and v2 dependency curation,annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_27051_NAVA_2024_2025_A_21072025183646.pdf,source inventory / risk factors / value-chain mapping,,0.62
NBCC-NSE-CLASSIFICATION,nifty_500_shariah,NBCC,NBCC (India) Ltd.,industry_classification,"NSE classifies NBCC as macro=Industrials, sector=Construction, industry=Construction, basicIndustry=Civil Construction.",NSE quote API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getSymbolData&marketType=N&series=EQ&symbol=NBCC,secInfo,,0.9
NBCC-NSE-FINANCIALS,nifty_500_shariah,NBCC,NBCC (India) Ltd.,financial_results,NSE returned 5 recent financial-result records for NBCC.,NSE financial results API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getFinancialResultData&symbol=NBCC&marketApiType=equities&noOfRecords=5,financial results,,0.9
NBCC-ANNUAL-REPORT,nifty_500_shariah,NBCC,NBCC (India) Ltd.,annual_report,Latest annual report discovered for NBCC: FY 2024-2025.,NBCC annual report,annual_report,02-SEP-2025 22:26:50,https://nsearchives.nseindia.com/annual_reports/AR_28237_NBCC_2024_2025_A_13280882_02092025222649.pdf,NSE annual report listing,,0.9
NBCC-CURATED-BUSINESS,nifty_500_shariah,NBCC,NBCC (India) Ltd.,business_model,"NBCC (India) Limited is an NSE-listed company classified by NSE as Industrials / Construction / Construction / Civil Construction. The profile maps the company into a capital_goods_or_project_supplier value-chain role using official NSE quote, financial-result and annual-report records; segment economics are left null where they were not cleanly available from the extracted source data.","NBCC annual report, NSE quote classification and v2 curation",annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_28237_NBCC_2024_2025_A_13280882_02092025222649.pdf,business review / management discussion / NSE secInfo,,0.68
NBCC-CURATED-DEPENDENCIES,nifty_500_shariah,NBCC,NBCC (India) Ltd.,dependency_mapping,"Upstream, downstream, cost-driver and peer mappings are hypotheses curated from NSE classification, annual-report source inventory and sector value-chain logic.",NBCC official NSE filings and v2 dependency curation,annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_28237_NBCC_2024_2025_A_13280882_02092025222649.pdf,source inventory / risk factors / value-chain mapping,,0.62
NCC-NSE-CLASSIFICATION,nifty_500_shariah,NCC,NCC Ltd.,industry_classification,"NSE classifies NCC as macro=Industrials, sector=Construction, industry=Construction, basicIndustry=Civil Construction.",NSE quote API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getSymbolData&marketType=N&series=EQ&symbol=NCC,secInfo,,0.9
NCC-NSE-FINANCIALS,nifty_500_shariah,NCC,NCC Ltd.,financial_results,NSE returned 5 recent financial-result records for NCC.,NSE financial results API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getFinancialResultData&symbol=NCC&marketApiType=equities&noOfRecords=5,financial results,,0.9
NCC-ANNUAL-REPORT,nifty_500_shariah,NCC,NCC Ltd.,annual_report,Latest annual report discovered for NCC: FY 2024-2025.,NCC annual report,annual_report,01-AUG-2025 17:14:41,https://nsearchives.nseindia.com/annual_reports/AR_27225_NCC_2024_2025_A_01082025171439.pdf,NSE annual report listing,,0.9
NCC-CURATED-BUSINESS,nifty_500_shariah,NCC,NCC Ltd.,business_model,"NCC Limited is an NSE-listed company classified by NSE as Industrials / Construction / Construction / Civil Construction. The profile maps the company into a capital_goods_or_project_supplier value-chain role using official NSE quote, financial-result and annual-report records; segment economics are left null where they were not cleanly available from the extracted source data.","NCC annual report, NSE quote classification and v2 curation",annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_27225_NCC_2024_2025_A_01082025171439.pdf,business review / management discussion / NSE secInfo,,0.68
NCC-CURATED-DEPENDENCIES,nifty_500_shariah,NCC,NCC Ltd.,dependency_mapping,"Upstream, downstream, cost-driver and peer mappings are hypotheses curated from NSE classification, annual-report source inventory and sector value-chain logic.",NCC official NSE filings and v2 dependency curation,annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_27225_NCC_2024_2025_A_01082025171439.pdf,source inventory / risk factors / value-chain mapping,,0.62
NESTLEIND-NSE-CLASSIFICATION,nifty_50_shariah,NESTLEIND,NESTLE INDIA LTD.,industry_classification,"NSE classifies NESTLEIND as macro=Fast Moving Consumer Goods, sector=Fast Moving Consumer Goods, industry=Food Products, basicIndustry=Packaged Foods.",NSE quote API,exchange_api,2026-05-26,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getSymbolData&marketType=N&series=EQ&symbol=NESTLEIND,secInfo,,0.9
NESTLEIND-NSE-FINANCIALS,nifty_50_shariah,NESTLEIND,NESTLE INDIA LTD.,financial_results,NSE returned 5 recent financial-result records for NESTLEIND.,NSE financial results API,exchange_api,2026-05-26,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getFinancialResultData&symbol=NESTLEIND&marketApiType=equities&noOfRecords=5,financial results,,0.9
NESTLEIND-ANNUAL-REPORT,nifty_50_shariah,NESTLEIND,NESTLE INDIA LTD.,annual_report,Latest annual report discovered for NESTLEIND: FY 2024-2025.,NESTLEIND annual report,annual_report,03-JUN-2025 00:24:42,https://nsearchives.nseindia.com/annual_reports/AR_26487_NESTLEIND_2024_2025_A_03062025002440.pdf,NSE annual report listing,,0.9
NESTLEIND-CURATED-BUSINESS,nifty_50_shariah,NESTLEIND,NESTLE INDIA LTD.,business_model,"Branded foods and beverage company with nutrition, dairy, prepared dishes, beverages and confectionery products. Revenue is domestic consumption-led, distribution-heavy and sensitive to milk, coffee, cocoa, wheat, packaging, rural/urban demand and brand investment.",NESTLEIND annual report and v2 agent curation,annual_report_and_web_research,2026-05-26,https://nsearchives.nseindia.com/annual_reports/AR_26487_NESTLEIND_2024_2025_A_03062025002440.pdf,business review / management discussion,,0.78
NESTLEIND-CURATED-DEPENDENCIES,nifty_50_shariah,NESTLEIND,NESTLE INDIA LTD.,dependency_mapping,"Upstream, downstream, cost-driver and revenue-driver mappings were curated from annual-report business descriptions and sector value-chain logic.",NESTLEIND annual report and NSE v2 data,annual_report_and_exchange_api,2026-05-26,https://nsearchives.nseindia.com/annual_reports/AR_26487_NESTLEIND_2024_2025_A_03062025002440.pdf,business review / risk factors / financial results,,0.72
NETWEB-NSE-CLASSIFICATION,nifty_500_shariah,NETWEB,Netweb Technologies India Ltd.,industry_classification,"NSE classifies NETWEB as macro=Information Technology, sector=Information Technology, industry=IT - Services, basicIndustry=IT Enabled Services.",NSE quote API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getSymbolData&marketType=N&series=EQ&symbol=NETWEB,secInfo,,0.9
NETWEB-NSE-FINANCIALS,nifty_500_shariah,NETWEB,Netweb Technologies India Ltd.,financial_results,NSE returned 5 recent financial-result records for NETWEB.,NSE financial results API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getFinancialResultData&symbol=NETWEB&marketApiType=equities&noOfRecords=5,financial results,,0.9
NETWEB-ANNUAL-REPORT,nifty_500_shariah,NETWEB,Netweb Technologies India Ltd.,annual_report,Latest annual report discovered for NETWEB: FY 2024-2025.,NETWEB annual report,annual_report,05-AUG-2025 16:17:19,https://nsearchives.nseindia.com/annual_reports/AR_27282_NETWEB_2024_2025_A_05082025161717.pdf,NSE annual report listing,,0.9
NETWEB-CURATED-BUSINESS,nifty_500_shariah,NETWEB,Netweb Technologies India Ltd.,business_model,"Netweb Technologies India Limited is an NSE-listed company classified by NSE as Information Technology / Information Technology / IT - Services / IT Enabled Services. The profile maps the company into a downstream_technology_service_provider value-chain role using official NSE quote, financial-result and annual-report records; segment economics are left null where they were not cleanly available from the extracted source data.","NETWEB annual report, NSE quote classification and v2 curation",annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_27282_NETWEB_2024_2025_A_05082025161717.pdf,business review / management discussion / NSE secInfo,,0.68
NETWEB-CURATED-DEPENDENCIES,nifty_500_shariah,NETWEB,Netweb Technologies India Ltd.,dependency_mapping,"Upstream, downstream, cost-driver and peer mappings are hypotheses curated from NSE classification, annual-report source inventory and sector value-chain logic.",NETWEB official NSE filings and v2 dependency curation,annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_27282_NETWEB_2024_2025_A_05082025161717.pdf,source inventory / risk factors / value-chain mapping,,0.62
NEULANDLAB-NSE-CLASSIFICATION,nifty_500_shariah,NEULANDLAB,Neuland Laboratories Ltd.,industry_classification,"NSE classifies NEULANDLAB as macro=Healthcare, sector=Healthcare, industry=Pharmaceuticals & Biotechnology, basicIndustry=Pharmaceuticals.",NSE quote API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getSymbolData&marketType=N&series=EQ&symbol=NEULANDLAB,secInfo,,0.9
NEULANDLAB-NSE-FINANCIALS,nifty_500_shariah,NEULANDLAB,Neuland Laboratories Ltd.,financial_results,NSE returned 5 recent financial-result records for NEULANDLAB.,NSE financial results API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getFinancialResultData&symbol=NEULANDLAB&marketApiType=equities&noOfRecords=5,financial results,,0.9
NEULANDLAB-ANNUAL-REPORT,nifty_500_shariah,NEULANDLAB,Neuland Laboratories Ltd.,annual_report,Latest annual report discovered for NEULANDLAB: FY 2024-2025.,NEULANDLAB annual report,annual_report,04-JUL-2025 20:04:21,https://nsearchives.nseindia.com/annual_reports/AR_26741_NEULANDLAB_2024_2025_A_04072025200419.pdf,NSE annual report listing,,0.9
NEULANDLAB-CURATED-BUSINESS,nifty_500_shariah,NEULANDLAB,Neuland Laboratories Ltd.,business_model,"Neuland Laboratories Limited is an NSE-listed company classified by NSE as Healthcare / Healthcare / Pharmaceuticals & Biotechnology / Pharmaceuticals. The profile maps the company into a regulated_healthcare_manufacturer_or_provider value-chain role using official NSE quote, financial-result and annual-report records; segment economics are left null where they were not cleanly available from the extracted source data.","NEULANDLAB annual report, NSE quote classification and v2 curation",annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_26741_NEULANDLAB_2024_2025_A_04072025200419.pdf,business review / management discussion / NSE secInfo,,0.68
NEULANDLAB-CURATED-DEPENDENCIES,nifty_500_shariah,NEULANDLAB,Neuland Laboratories Ltd.,dependency_mapping,"Upstream, downstream, cost-driver and peer mappings are hypotheses curated from NSE classification, annual-report source inventory and sector value-chain logic.",NEULANDLAB official NSE filings and v2 dependency curation,annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_26741_NEULANDLAB_2024_2025_A_04072025200419.pdf,source inventory / risk factors / value-chain mapping,,0.62
NSLNISP-NSE-CLASSIFICATION,nifty_500_shariah,NSLNISP,NMDC Steel Ltd.,industry_classification,"NSE classifies NSLNISP as macro=Commodities, sector=Metals & Mining, industry=Ferrous Metals, basicIndustry=Iron & Steel.",NSE quote API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getSymbolData&marketType=N&series=EQ&symbol=NSLNISP,secInfo,,0.9
NSLNISP-NSE-FINANCIALS,nifty_500_shariah,NSLNISP,NMDC Steel Ltd.,financial_results,NSE returned 5 recent financial-result records for NSLNISP.,NSE financial results API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getFinancialResultData&symbol=NSLNISP&marketApiType=equities&noOfRecords=5,financial results,,0.9
NSLNISP-ANNUAL-REPORT,nifty_500_shariah,NSLNISP,NMDC Steel Ltd.,annual_report,Latest annual report discovered for NSLNISP: FY 2024-2025.,NSLNISP annual report,annual_report,06-AUG-2025 23:51:54,https://nsearchives.nseindia.com/annual_reports/AR_27318_NSLNISP_2024_2025_A_06082025235152.pdf,NSE annual report listing,,0.9
NSLNISP-CURATED-BUSINESS,nifty_500_shariah,NSLNISP,NMDC Steel Ltd.,business_model,"NMDC Steel Limited is an NSE-listed company classified by NSE as Commodities / Metals & Mining / Ferrous Metals / Iron & Steel. The profile maps the company into a upstream_or_midstream_commodity_producer value-chain role using official NSE quote, financial-result and annual-report records; segment economics are left null where they were not cleanly available from the extracted source data.","NSLNISP annual report, NSE quote classification and v2 curation",annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_27318_NSLNISP_2024_2025_A_06082025235152.pdf,business review / management discussion / NSE secInfo,,0.68
NSLNISP-CURATED-DEPENDENCIES,nifty_500_shariah,NSLNISP,NMDC Steel Ltd.,dependency_mapping,"Upstream, downstream, cost-driver and peer mappings are hypotheses curated from NSE classification, annual-report source inventory and sector value-chain logic.",NSLNISP official NSE filings and v2 dependency curation,annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_27318_NSLNISP_2024_2025_A_06082025235152.pdf,source inventory / risk factors / value-chain mapping,,0.62
NUVOCO-NSE-CLASSIFICATION,nifty_500_shariah,NUVOCO,Nuvoco Vistas Corporation Ltd.,industry_classification,"NSE classifies NUVOCO as macro=Commodities, sector=Construction Materials, industry=Cement & Cement Products, basicIndustry=Cement & Cement Products.",NSE quote API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getSymbolData&marketType=N&series=EQ&symbol=NUVOCO,secInfo,,0.9
NUVOCO-NSE-FINANCIALS,nifty_500_shariah,NUVOCO,Nuvoco Vistas Corporation Ltd.,financial_results,NSE returned 5 recent financial-result records for NUVOCO.,NSE financial results API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getFinancialResultData&symbol=NUVOCO&marketApiType=equities&noOfRecords=5,financial results,,0.9
NUVOCO-ANNUAL-REPORT,nifty_500_shariah,NUVOCO,Nuvoco Vistas Corporation Ltd.,annual_report,Latest annual report discovered for NUVOCO: FY 2024-2025.,NUVOCO annual report,annual_report,30-JUN-2025 19:24:10,https://nsearchives.nseindia.com/annual_reports/AR_26651_NUVOCO_2024_2025_A_30062025192408.pdf,NSE annual report listing,,0.9
NUVOCO-CURATED-BUSINESS,nifty_500_shariah,NUVOCO,Nuvoco Vistas Corporation Ltd.,business_model,"Nuvoco Vistas Corporation Limited is an NSE-listed company classified by NSE as Commodities / Construction Materials / Cement & Cement Products / Cement & Cement Products. The profile maps the company into a capital_goods_or_project_supplier value-chain role using official NSE quote, financial-result and annual-report records; segment economics are left null where they were not cleanly available from the extracted source data.","NUVOCO annual report, NSE quote classification and v2 curation",annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_26651_NUVOCO_2024_2025_A_30062025192408.pdf,business review / management discussion / NSE secInfo,,0.68
NUVOCO-CURATED-DEPENDENCIES,nifty_500_shariah,NUVOCO,Nuvoco Vistas Corporation Ltd.,dependency_mapping,"Upstream, downstream, cost-driver and peer mappings are hypotheses curated from NSE classification, annual-report source inventory and sector value-chain logic.",NUVOCO official NSE filings and v2 dependency curation,annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_26651_NUVOCO_2024_2025_A_30062025192408.pdf,source inventory / risk factors / value-chain mapping,,0.62
OLECTRA-NSE-CLASSIFICATION,nifty_500_shariah,OLECTRA,Olectra Greentech Ltd.,industry_classification,"NSE classifies OLECTRA as macro=Consumer Discretionary, sector=Automobile and Auto Components, industry=Automobiles, basicIndustry=Passenger Cars & Utility Vehicles.",NSE quote API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getSymbolData&marketType=N&series=EQ&symbol=OLECTRA,secInfo,,0.9
OLECTRA-NSE-FINANCIALS,nifty_500_shariah,OLECTRA,Olectra Greentech Ltd.,financial_results,NSE returned 5 recent financial-result records for OLECTRA.,NSE financial results API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getFinancialResultData&symbol=OLECTRA&marketApiType=equities&noOfRecords=5,financial results,,0.9
OLECTRA-ANNUAL-REPORT,nifty_500_shariah,OLECTRA,Olectra Greentech Ltd.,annual_report,Latest annual report discovered for OLECTRA: FY 2024-2025.,OLECTRA annual report,annual_report,29-AUG-2025 18:59:11,https://nsearchives.nseindia.com/annual_reports/AR_27908_OLECTRA_2024_2025_A_4287885_29082025185910.pdf,NSE annual report listing,,0.9
OLECTRA-CURATED-BUSINESS,nifty_500_shariah,OLECTRA,Olectra Greentech Ltd.,business_model,"Olectra Greentech Limited is an NSE-listed company classified by NSE as Consumer Discretionary / Automobile and Auto Components / Automobiles / Passenger Cars & Utility Vehicles. The profile maps the company into a auto_oem_or_component_manufacturer value-chain role using official NSE quote, financial-result and annual-report records; segment economics are left null where they were not cleanly available from the extracted source data.","OLECTRA annual report, NSE quote classification and v2 curation",annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_27908_OLECTRA_2024_2025_A_4287885_29082025185910.pdf,business review / management discussion / NSE secInfo,,0.68
OLECTRA-CURATED-DEPENDENCIES,nifty_500_shariah,OLECTRA,Olectra Greentech Ltd.,dependency_mapping,"Upstream, downstream, cost-driver and peer mappings are hypotheses curated from NSE classification, annual-report source inventory and sector value-chain logic.",OLECTRA official NSE filings and v2 dependency curation,annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_27908_OLECTRA_2024_2025_A_4287885_29082025185910.pdf,source inventory / risk factors / value-chain mapping,,0.62
ONGC-NSE-CLASSIFICATION,nifty_50_shariah,ONGC,Oil & Natural Gas Corporation,industry_classification,"NSE classifies ONGC as macro=Energy, sector=Oil Gas & Consumable Fuels, industry=Oil, basicIndustry=Oil Exploration & Production.",NSE quote API,exchange_api,2026-05-26,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getSymbolData&marketType=N&series=EQ&symbol=ONGC,secInfo,,0.9
ONGC-NSE-FINANCIALS,nifty_50_shariah,ONGC,Oil & Natural Gas Corporation,financial_results,NSE returned 5 recent financial-result records for ONGC.,NSE financial results API,exchange_api,2026-05-26,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getFinancialResultData&symbol=ONGC&marketApiType=equities&noOfRecords=5,financial results,,0.9
ONGC-ANNUAL-REPORT,nifty_50_shariah,ONGC,Oil & Natural Gas Corporation,annual_report,Latest annual report discovered for ONGC: FY 2024-2025.,ONGC annual report,annual_report,07-AUG-2025 20:57:12,https://nsearchives.nseindia.com/annual_reports/AR_27347_ONGC_2024_2025_A_07082025205710.pdf,NSE annual report listing,,0.9
ONGC-CURATED-BUSINESS,nifty_50_shariah,ONGC,Oil & Natural Gas Corporation,business_model,"Upstream oil and gas producer with exploration, production and group downstream/refining exposure. Earnings are highly commodity-linked and regulated, sensitive to crude oil, gas prices, production volumes, subsidy/tax policy, capex execution and exchange rates.",ONGC annual report and v2 agent curation,annual_report_and_web_research,2026-05-26,https://nsearchives.nseindia.com/annual_reports/AR_27347_ONGC_2024_2025_A_07082025205710.pdf,business review / management discussion,,0.78
ONGC-CURATED-DEPENDENCIES,nifty_50_shariah,ONGC,Oil & Natural Gas Corporation,dependency_mapping,"Upstream, downstream, cost-driver and revenue-driver mappings were curated from annual-report business descriptions and sector value-chain logic.",ONGC annual report and NSE v2 data,annual_report_and_exchange_api,2026-05-26,https://nsearchives.nseindia.com/annual_reports/AR_27347_ONGC_2024_2025_A_07082025205710.pdf,business review / risk factors / financial results,,0.72
PAGEIND-NSE-CLASSIFICATION,nifty_500_shariah,PAGEIND,Page Industries Ltd.,industry_classification,"NSE classifies PAGEIND as macro=Consumer Discretionary, sector=Textiles, industry=Textiles & Apparels, basicIndustry=Garments & Apparels.",NSE quote API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getSymbolData&marketType=N&series=EQ&symbol=PAGEIND,secInfo,,0.9
PAGEIND-NSE-FINANCIALS,nifty_500_shariah,PAGEIND,Page Industries Ltd.,financial_results,NSE returned 5 recent financial-result records for PAGEIND.,NSE financial results API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getFinancialResultData&symbol=PAGEIND&marketApiType=equities&noOfRecords=5,financial results,,0.9
PAGEIND-ANNUAL-REPORT,nifty_500_shariah,PAGEIND,Page Industries Ltd.,annual_report,Latest annual report discovered for PAGEIND: FY 2024-2025.,PAGEIND annual report,annual_report,09-JUL-2025 18:50:55,https://nsearchives.nseindia.com/annual_reports/AR_26815_PAGEIND_2024_2025_A_09072025185053.pdf,NSE annual report listing,,0.9
PAGEIND-CURATED-BUSINESS,nifty_500_shariah,PAGEIND,Page Industries Ltd.,business_model,"Page Industries Limited is an NSE-listed company classified by NSE as Consumer Discretionary / Textiles / Textiles & Apparels / Garments & Apparels. The profile maps the company into a downstream_branded_consumer_company value-chain role using official NSE quote, financial-result and annual-report records; segment economics are left null where they were not cleanly available from the extracted source data.","PAGEIND annual report, NSE quote classification and v2 curation",annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_26815_PAGEIND_2024_2025_A_09072025185053.pdf,business review / management discussion / NSE secInfo,,0.68
PAGEIND-CURATED-DEPENDENCIES,nifty_500_shariah,PAGEIND,Page Industries Ltd.,dependency_mapping,"Upstream, downstream, cost-driver and peer mappings are hypotheses curated from NSE classification, annual-report source inventory and sector value-chain logic.",PAGEIND official NSE filings and v2 dependency curation,annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_26815_PAGEIND_2024_2025_A_09072025185053.pdf,source inventory / risk factors / value-chain mapping,,0.62
PATANJALI-NSE-CLASSIFICATION,nifty_500_shariah,PATANJALI,Patanjali Foods Ltd.,industry_classification,"NSE classifies PATANJALI as macro=Fast Moving Consumer Goods, sector=Fast Moving Consumer Goods, industry=Agricultural Food & other Products, basicIndustry=Edible Oil.",NSE quote API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getSymbolData&marketType=N&series=EQ&symbol=PATANJALI,secInfo,,0.9
PATANJALI-NSE-FINANCIALS,nifty_500_shariah,PATANJALI,Patanjali Foods Ltd.,financial_results,NSE returned 5 recent financial-result records for PATANJALI.,NSE financial results API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getFinancialResultData&symbol=PATANJALI&marketApiType=equities&noOfRecords=5,financial results,,0.9
PATANJALI-ANNUAL-REPORT,nifty_500_shariah,PATANJALI,Patanjali Foods Ltd.,annual_report,Latest annual report discovered for PATANJALI: FY 2024-2025.,PATANJALI annual report,annual_report,04-SEP-2025 14:56:15,https://nsearchives.nseindia.com/annual_reports/AR_28407_PATANJALI_2024_2025_A_19135743_04092025145614.pdf,NSE annual report listing,,0.9
PATANJALI-CURATED-BUSINESS,nifty_500_shariah,PATANJALI,Patanjali Foods Ltd.,business_model,"Patanjali Foods Limited is an NSE-listed company classified by NSE as Fast Moving Consumer Goods / Fast Moving Consumer Goods / Agricultural Food & other Products / Edible Oil. The profile maps the company into a downstream_branded_consumer_company value-chain role using official NSE quote, financial-result and annual-report records; segment economics are left null where they were not cleanly available from the extracted source data.","PATANJALI annual report, NSE quote classification and v2 curation",annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_28407_PATANJALI_2024_2025_A_19135743_04092025145614.pdf,business review / management discussion / NSE secInfo,,0.68
PATANJALI-CURATED-DEPENDENCIES,nifty_500_shariah,PATANJALI,Patanjali Foods Ltd.,dependency_mapping,"Upstream, downstream, cost-driver and peer mappings are hypotheses curated from NSE classification, annual-report source inventory and sector value-chain logic.",PATANJALI official NSE filings and v2 dependency curation,annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_28407_PATANJALI_2024_2025_A_19135743_04092025145614.pdf,source inventory / risk factors / value-chain mapping,,0.62
PERSISTENT-NSE-CLASSIFICATION,nifty_500_shariah,PERSISTENT,Persistent Systems Ltd.,industry_classification,"NSE classifies PERSISTENT as macro=Information Technology, sector=Information Technology, industry=IT - Software, basicIndustry=Computers - Software & Consulting.",NSE quote API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getSymbolData&marketType=N&series=EQ&symbol=PERSISTENT,secInfo,,0.9
PERSISTENT-NSE-FINANCIALS,nifty_500_shariah,PERSISTENT,Persistent Systems Ltd.,financial_results,NSE returned 5 recent financial-result records for PERSISTENT.,NSE financial results API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getFinancialResultData&symbol=PERSISTENT&marketApiType=equities&noOfRecords=5,financial results,,0.9
PERSISTENT-ANNUAL-REPORT,nifty_500_shariah,PERSISTENT,Persistent Systems Ltd.,annual_report,Latest annual report discovered for PERSISTENT: FY 2024-2025.,PERSISTENT annual report,annual_report,23-JUN-2025 23:29:06,https://nsearchives.nseindia.com/annual_reports/AR_26593_PERSISTENT_2024_2025_A_23062025232905.pdf,NSE annual report listing,,0.9
PERSISTENT-CURATED-BUSINESS,nifty_500_shariah,PERSISTENT,Persistent Systems Ltd.,business_model,"Persistent Systems Limited is an NSE-listed company classified by NSE as Information Technology / Information Technology / IT - Software / Computers - Software & Consulting. The profile maps the company into a downstream_technology_service_provider value-chain role using official NSE quote, financial-result and annual-report records; segment economics are left null where they were not cleanly available from the extracted source data.","PERSISTENT annual report, NSE quote classification and v2 curation",annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_26593_PERSISTENT_2024_2025_A_23062025232905.pdf,business review / management discussion / NSE secInfo,,0.68
PERSISTENT-CURATED-DEPENDENCIES,nifty_500_shariah,PERSISTENT,Persistent Systems Ltd.,dependency_mapping,"Upstream, downstream, cost-driver and peer mappings are hypotheses curated from NSE classification, annual-report source inventory and sector value-chain logic.",PERSISTENT official NSE filings and v2 dependency curation,annual_report_and_exchange_api,2026-05-27,https://nsearchives.nseindia.com/annual_reports/AR_26593_PERSISTENT_2024_2025_A_23062025232905.pdf,source inventory / risk factors / value-chain mapping,,0.62
PETRONET-NSE-CLASSIFICATION,nifty_500_shariah,PETRONET,Petronet LNG Ltd.,industry_classification,"NSE classifies PETRONET as macro=Energy, sector=Oil Gas & Consumable Fuels, industry=Gas, basicIndustry=LPG/CNG/PNG/LNG Supplier.",NSE quote API,exchange_api,2026-05-27,https://www.nseindia.com/api/NextApi/apiClient/GetQuoteApi?functionName=getSymbolData&marketType=N&series=EQ&symbol=PETRONET,secInfo,,0.9
